symbol,name,asset_class,exchange,contract_unit,quote_unit,outright_tick_size,tick_value_usd,usd_per_1_quote_unit,settlement,scope_note,source_title,source_url,verified_on
6M,Mexican Peso,FX,CME,"500,000 Mexican pesos",USD per Mexican peso,1e-05,5.0,500000.0,Physical,CME Globex outright futures tick; spreads and options excluded.,CME Group FX Product Guide 2026,https://www.cmegroup.com/markets/fx/fx-product-guide.html,2026-08-03
6Z,South African Rand,FX,CME,"500,000 rand",USD per rand,2.5e-05,12.5,500000.0,Physical,CME Globex outright futures tick; spreads and options excluded.,CME Group FX Product Guide 2026,https://www.cmegroup.com/markets/fx/fx-product-guide.html,2026-08-03
6L,Brazilian Real,FX,CME,"100,000 Brazilian real",USD per Brazilian real,5e-05,5.0,100000.0,Financial,CME Globex outright futures tick; spreads and options excluded.,CME Group FX Product Guide 2026,https://www.cmegroup.com/markets/fx/fx-product-guide.html,2026-08-03
CL,WTI Crude Oil,Energy,NYMEX,"1,000 barrels",USD per barrel,0.01,10.0,1000.0,Physical,CME Globex outright futures tick; spreads and options excluded.,CME Group WTI Crude Oil contract specifications,https://www.cmegroup.com/markets/energy/crude-oil/light-sweet-crude.contractSpecs.html,2026-08-03
MCL,Micro WTI Crude Oil,Energy,NYMEX,100 barrels,USD per barrel,0.01,1.0,100.0,Financial,CME Globex outright futures tick; spreads and options excluded.,CME Group Micro WTI Crude Oil futures FAQ,https://www.cmegroup.com/education/articles-and-reports/micro-wti-crude-oil-futures-faq,2026-08-03
NG,Henry Hub Natural Gas,Energy,NYMEX,"10,000 MMBtu",USD per MMBtu,0.001,10.0,10000.0,Physical,CME Globex outright futures tick; spreads and options excluded.,CME Group Henry Hub Natural Gas contract specifications,https://www.cmegroup.com/markets/energy/natural-gas/natural-gas.contractSpecs.html,2026-08-03
QG,E-mini Natural Gas,Energy,NYMEX,"2,500 MMBtu",USD per MMBtu,0.005,12.5,2500.0,Financial,CME Globex outright futures tick; spreads and options excluded.,CME Group E-mini Natural Gas contract specifications,https://www.cmegroup.com/markets/energy/natural-gas/emini-natural-gas.contractSpecs.html,2026-08-03
RB,RBOB Gasoline,Energy,NYMEX,"42,000 gallons",USD per gallon,0.0001,4.2,42000.0,Physical,CME Globex outright futures tick; spreads and options excluded.,CME Group RBOB product overview,https://www.cmegroup.com/education/courses/introduction-to-refined-products/rbob-product-overview,2026-08-03
HO,NY Harbor ULSD,Energy,NYMEX,"42,000 gallons",USD per gallon,0.0001,4.2,42000.0,Physical,CME Globex outright futures tick; spreads and options excluded.,CME Group NY Harbor ULSD contract specifications,https://www.cmegroup.com/markets/energy/refined-products/heating-oil.contractSpecs.html,2026-08-03
GC,Gold,Metals,COMEX,100 troy ounces,USD per troy ounce,0.1,10.0,100.0,Physical,CME Globex outright futures tick; spreads and options excluded.,CME Group Gold contract specifications,https://www.cmegroup.com/markets/metals/precious/gold.contractSpecs.html,2026-08-03
MGC,Micro Gold,Metals,COMEX,10 troy ounces,USD per troy ounce,0.1,1.0,10.0,Physical,CME Globex outright futures tick; spreads and options excluded.,CME Group Micro Metals contract specifications,https://www.cmegroup.com/markets/microsuite/metals.html,2026-08-03
1OZ,1-Ounce Gold,Metals,COMEX,1 troy ounce,USD per troy ounce,0.25,0.25,1.0,Financial,CME Globex outright futures tick; spreads and options excluded.,CME Group 1-Ounce Gold futures FAQ,https://www.cmegroup.com/articles/faqs/faq-1-oz-gold-futures.html,2026-08-03
SI,Silver,Metals,COMEX,"5,000 troy ounces",USD per troy ounce,0.005,25.0,5000.0,Physical,CME Globex outright futures tick; spreads and options excluded.,COMEX Rulebook Chapter 112 - Silver Futures,https://www.cmegroup.com/rulebook/COMEX/1a/112.pdf,2026-08-03
SIL,Micro Silver,Metals,COMEX,"1,000 troy ounces",USD per troy ounce,0.01,10.0,1000.0,Physical,CME Globex outright futures tick; spreads and options excluded.,CME Group Micro Metals contract specifications,https://www.cmegroup.com/markets/microsuite/metals.html,2026-08-03
SIC,100-Ounce Silver,Metals,COMEX,100 troy ounces,USD per troy ounce,0.01,1.0,100.0,Financial,CME Globex outright futures tick; spreads and options excluded.,CME Group 100-Ounce Silver futures FAQ,https://www.cmegroup.com/articles/faqs/frequently-asked-questions-100-ounce-silver-futures.html,2026-08-03
HG,Copper,Metals,COMEX,"25,000 pounds",USD per pound,0.0005,12.5,25000.0,Physical,CME Globex outright futures tick; spreads and options excluded.,CME Group Copper contract specifications,https://www.cmegroup.com/markets/metals/base/copper.contractSpecs.html,2026-08-03
MHG,Micro Copper,Metals,COMEX,"2,500 pounds",USD per pound,0.0005,1.25,2500.0,Financial,CME Globex outright futures tick; spreads and options excluded.,CME Group Micro Metals contract specifications,https://www.cmegroup.com/markets/microsuite/metals.html,2026-08-03
PL,Platinum,Metals,NYMEX,50 troy ounces,USD per troy ounce,0.1,5.0,50.0,Physical,CME Globex outright futures tick; spreads and options excluded.,CME Group Platinum product overview,https://www.cmegroup.com/education/lessons/platinum-product-overview,2026-08-03
PA,Palladium,Metals,NYMEX,100 troy ounces,USD per troy ounce,0.5,50.0,100.0,Physical,CME Globex outright futures tick; spreads and options excluded.,CME Group Palladium minimum price fluctuation notice,https://www.cmegroup.com/notices/ser/2020/12/SER-8668R.pdf,2026-08-03
PAM,Micro Palladium,Metals,NYMEX,10 troy ounces,USD per troy ounce,0.5,5.0,10.0,Physical,CME Globex outright futures tick; spreads and options excluded.,CME Group Micro Metals contract specifications,https://www.cmegroup.com/markets/microsuite/metals.html,2026-08-03
ZC,Corn,Agriculture,CBOT,"5,000 bushels",US cents per bushel,0.25,12.5,50.0,Physical,CME Globex outright futures tick; spreads and options excluded.,CME Group Corn contract specifications,https://www.cmegroup.com/markets/agriculture/grains/corn.contractSpecs.html,2026-08-03
ZW,Chicago SRW Wheat,Agriculture,CBOT,"5,000 bushels",US cents per bushel,0.25,12.5,50.0,Physical,CME Globex outright futures tick; spreads and options excluded.,CME Group Chicago SRW Wheat contract specifications,https://www.cmegroup.com/markets/agriculture/grains/wheat.contractSpecs.html,2026-08-03
ZS,Soybeans,Agriculture,CBOT,"5,000 bushels",US cents per bushel,0.25,12.5,50.0,Physical,CME Globex outright futures tick; spreads and options excluded.,CME Group Soybean contract specifications,https://www.cmegroup.com/markets/agriculture/oilseeds/soybean.contractSpecs.html,2026-08-03
ZM,Soybean Meal,Agriculture,CBOT,100 short tons,USD per short ton,0.1,10.0,100.0,Physical,CME Globex outright futures tick; spreads and options excluded.,CME Group Soybean Meal contract specifications,https://www.cmegroup.com/markets/agriculture/oilseeds/soybean-meal.contractSpecs.html,2026-08-03
ZL,Soybean Oil,Agriculture,CBOT,"60,000 pounds",US cents per pound,0.01,6.0,600.0,Physical,CME Globex outright futures tick; spreads and options excluded.,CME Group Soybean Oil contract specifications,https://www.cmegroup.com/markets/agriculture/oilseeds/soybean-oil.contractSpecs.html,2026-08-03
LE,Live Cattle,Agriculture,CME,"40,000 pounds",US cents per pound,0.025,10.0,400.0,Physical,CME Globex outright futures tick; spreads and options excluded.,CME Group Live Cattle contract specifications,https://www.cmegroup.com/markets/agriculture/livestock/live-cattle.contractSpecs.html,2026-08-03
HE,Lean Hogs,Agriculture,CME,"40,000 pounds",US cents per pound,0.025,10.0,400.0,Financial,CME Globex outright futures tick; spreads and options excluded.,CME Group Lean Hogs contract specifications,https://www.cmegroup.com/markets/agriculture/livestock/lean-hogs.contractSpecs.html,2026-08-03
GF,Feeder Cattle,Agriculture,CME,"50,000 pounds",US cents per pound,0.025,12.5,500.0,Financial,CME Globex outright futures tick; spreads and options excluded.,CME Group Feeder Cattle contract specifications,https://www.cmegroup.com/markets/agriculture/livestock/feeder-cattle.contractSpecs.html,2026-08-03
ZT,2-Year U.S. Treasury Note,Interest Rates,CBOT,"$200,000 face value",price points,0.00390625,7.8125,2000.0,Physical,Outright tick is 1/8 of 1/32; decimal equivalent shown.,CME Group Treasury Futures Delivery Process,https://www.cmegroup.com/content/dam/cmegroup/trading/interest-rates/files/us-treasury-futures-delivery-process.pdf,2026-08-03
ZF,5-Year U.S. Treasury Note,Interest Rates,CBOT,"$100,000 face value",price points,0.0078125,7.8125,1000.0,Physical,Outright tick is 1/4 of 1/32; decimal equivalent shown. Calendar-spread tick changed in 2026 and is excluded.,CME Group Treasury Futures Delivery Process,https://www.cmegroup.com/content/dam/cmegroup/trading/interest-rates/files/us-treasury-futures-delivery-process.pdf,2026-08-03
ZN,10-Year U.S. Treasury Note,Interest Rates,CBOT,"$100,000 face value",price points,0.015625,15.625,1000.0,Physical,Outright tick is 1/2 of 1/32; decimal equivalent shown.,CME Group Treasury Futures Delivery Process,https://www.cmegroup.com/content/dam/cmegroup/trading/interest-rates/files/us-treasury-futures-delivery-process.pdf,2026-08-03
TN,Ultra 10-Year U.S. Treasury Note,Interest Rates,CBOT,"$100,000 face value",price points,0.015625,15.625,1000.0,Physical,Outright tick is 1/2 of 1/32; decimal equivalent shown.,CME Group Treasury Futures Delivery Process,https://www.cmegroup.com/content/dam/cmegroup/trading/interest-rates/files/us-treasury-futures-delivery-process.pdf,2026-08-03
ZB,30-Year U.S. Treasury Bond,Interest Rates,CBOT,"$100,000 face value",price points,0.03125,31.25,1000.0,Physical,Outright tick is 1/32; decimal equivalent shown.,CME Group 30-Year Treasury Bond contract specifications,https://www.cmegroup.com/markets/interest-rates/us-treasury/30-year-us-treasury-bond.contractSpecs.html,2026-08-03
UB,Ultra U.S. Treasury Bond,Interest Rates,CBOT,"$100,000 face value",price points,0.03125,31.25,1000.0,Physical,Outright tick is 1/32; decimal equivalent shown.,CME Group Ultra Treasury Bond contract specifications,https://www.cmegroup.com/markets/interest-rates/us-treasury/ultra-t-bond.contractSpecs.html,2026-08-03
